# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	56430
#@/user_id	mac
a 	啊	c=52 d=2.7359 t=56430
xi nao 	洗腦	c=1 d=0.0490458 t=56430
xi pin 	細品	c=1 d=0.000244817 t=56430
xi ping 	息屏	c=5 d=2.32445 t=56430
xi sheng 	犧牲	c=1 d=0.18452 t=56430
xi shu 	係數	c=2 d=0.634886 t=56430
xi su 	習俗	c=3 d=2.42713 t=56430
xi tong 	系統	c=76 d=6.738 t=56430
xi tong dai li 	系統代理	c=1 d=0.0290133 t=56430
xi tong fu wu 	系統服務	c=4 d=0.0553797 t=56430
xi tong hou 	系統後	c=1 d=6.79503e-14 t=56430
xi tong nei 	系統內	c=1 d=0.514274 t=56430
xi tong shi 	系統時	c=1 d=1.02017e-29 t=56430
xi tong zhong 	系統中	c=1 d=0.980199 t=56430
xi wang 	希望	c=6 d=1.17361 t=56430
xi xi 	嘻嘻	c=6 d=0.989069 t=56430
xi yi ji 	洗衣機	c=1 d=0.0165727 t=56430
xi yin 	吸引	c=1 d=0.239602 t=56430
xi you 	稀有	c=1 d=9.90018e-30 t=56430
xi you ji 	西遊記	c=2 d=1.74745 t=56430
xi zao 	洗澡	c=1 d=0.0513033 t=56430
xia 	下	c=111 d=6.60692 t=56430
xia ban 	下班	c=10 d=0.995012 t=56430
xia ban le 	下班了	c=1 d=3.49272e-08 t=56430
xia biao 	下表	c=1 d=7.24891e-10 t=56430
xia bing 	蝦餅	c=0 d=2.35217e-05 t=56430
xia ceng 	下層	c=1 d=3.68957e-06 t=56430
xia che 	下車	c=1 d=0.00852289 t=56430
xia chen 	下沉	c=2 d=0.962538 t=56430
xia ci 	下次	c=3 d=0.937067 t=56430
xia dan 	下單	c=0 d=5.5175e-06 t=56430
xia dan shi 	下單時	c=1 d=5.54516e-05 t=56430
xia de 	下的	c=12 d=1.64808 t=56430
xia fa 	下發	c=16 d=0.209213 t=56430
xia ge 	下個	c=2 d=0.839457 t=56430
xia hua xian 	下劃線	c=5 d=1.01709 t=56430
xia jiang 	下降	c=1 d=0.0223708 t=56430
xia la 	下拉	c=12 d=0.737144 t=56430
xia la kuang 	下拉框	c=10 d=0.00132764 t=56430
xia la lie biao 	下拉列表	c=2 d=0.00184305 t=56430
xia lai 	下來	c=4 d=1.0304 t=56430
xia le 	下了	c=2 d=0.00427488 t=56430
xia lie 	下列	c=1 d=2.50409e-05 t=56430
xia mian 	下面	c=25 d=2.84478 t=56430
xia mian de 	下面的	c=1 d=1.54176e-05 t=56430
xia tian 	夏天	c=1 d=0.562705 t=56430
xia wu 	下午	c=6 d=0.562705 t=56430
xia xian 	下線	c=1 d=0.00180897 t=56430
xia xian 	下限	c=8 d=0.633329 t=56430
xia xue 	下雪	c=1 d=0.000155324 t=56430
xia yi bu 	下一步	c=1 d=1.77375e-07 t=56430
xia yi ceng 	下一層	c=1 d=0.0526021 t=56430
xia yi chu 	下一處	c=2 d=0.541197 t=56430
xia yi ge 	下一個	c=6 d=1.3785 t=56430
xia yu 	下雨	c=1 d=0.000154549 t=56430
xia yu tian 	下雨天	c=1 d=0.00163682 t=56430
xia zai 	下載	c=25 d=2.64087 t=56430
xia zai de 	下載的	c=1 d=0.018968 t=56430
xian 	先	c=25 d=1.91337 t=56430
xian 	線	c=5 d=1.0053 t=56430
xian 	限	c=1 d=0.22091 t=56430
xian ba 	先把	c=1 d=0.0266491 t=56430
xian cai 	莧菜	c=1 d=0.767206 t=56430
xian chang 	現場	c=2 d=0.647265 t=56430
xian cheng 	現成	c=4 d=0.0529117 t=56430
xian cheng 	線程	c=21 d=1.46327 t=56430
xian cheng chi 	線程池	c=10 d=0.932394 t=56430
xian cong 	先從	c=1 d=0.0569831 t=56430
xian ding 	限定	c=3 d=0.955997 t=56430
xian gu ding 	先固定	c=1 d=9.05145e-05 t=56430
xian hou 	先後	c=1 d=0.120032 t=56430
xian ka 	顯卡	c=0 d=0.0941765 t=56430
xian kan 	先看	c=1 d=0.0102037 t=56430
xian kan xia 	先看下	c=1 d=0.113042 t=56430
xian lu 	線路	c=3 d=0.598817 t=56430
xian ma fan 	嫌麻煩	c=1 d=7.04928e-05 t=56430
xian mu 	羨慕	c=5 d=1.00042 t=56430
xian quan 	線圈	c=9 d=1.36956 t=56430
xian shi 	顯示	c=42 d=5.77428 t=56430
xian shi qi 	顯示器	c=11 d=7.35224 t=56430
xian shi xiao guo 	顯示效果	c=1 d=0.025223 t=56430
xian shua 	線刷	c=1 d=0.121846 t=56430
xian shui jiao 	先睡覺	c=1 d=0.00346515 t=56430
xian tiao 	線條	c=1 d=3.19982e-07 t=56430
xian ting zhi 	先停止	c=1 d=0.66365 t=56430
xian wan 	先玩	c=1 d=1.17411e-06 t=56430
xian xian 	鹹鹹	c=0 d=0.0951229 t=56430
xian xian de 	鹹鹹的	c=1 d=0.955997 t=56430
xian yong 	先用	c=0 d=1.98445e-05 t=56430
xian yong le 	先用了	c=1 d=0.000199439 t=56430
xian zai 	現在	c=36 d=1.93722 t=56430
xian zai de 	現在的	c=1 d=0.00323088 t=56430
xian zai yong 	現在用	c=1 d=2.15046e-08 t=56430
xian zhi 	閒置	c=4 d=1.73488 t=56430
xian zhi 	限制	c=26 d=2.57057 t=56430
xian zhi xing 	先執行	c=1 d=1.80148e-13 t=56430
xian zong de 	先總的	c=1 d=0.980199 t=56430
xiang 	像	c=12 d=1.91744 t=56430
xiang 	向	c=13 d=1.77657 t=56430
xiang 	想	c=29 d=2.31125 t=56430
xiang 	相	c=9 d=2.77631 t=56430
xiang 	象	c=2 d=0.0193512 t=56430
xiang 	項	c=42 d=6.28623 t=56430
xiang bi 	相比	c=2 d=3.54611e-10 t=56430
xiang bu qi lai 	想不起來	c=0 d=0.000311976 t=56430
xiang bu qi lai le 	想不起來了	c=1 d=0.0031354 t=56430
xiang cai 	香菜	c=1 d=0.000850233 t=56430
xiang cha 	相差	c=2 d=2.40631e-07 t=56430
xiang chi 	想喫	c=3 d=0.976314 t=56430
xiang dang yu 	相當於	c=1 d=4.71388e-06 t=56430
xiang dao 	嚮導	c=1 d=2.34204e-12 t=56430
xiang dao 	想到	c=2 d=0.952988 t=56430
xiang de 	想的	c=1 d=0.127454 t=56430
xiang de wo 	想的我	c=1 d=9.90555e-07 t=56430
xiang deng 	相等	c=5 d=0.734973 t=56430
xiang dui 	相對	c=5 d=1.11447 t=56430
xiang dui di zhi 	相對地址	c=4 d=1.06313 t=56430
xiang duo 	想度	c=1 d=0.22091 t=56430
xiang fan 	相反	c=2 d=0.965605 t=56430
xiang gan 	相干	c=1 d=0.0478349 t=56430
xiang gan 	香乾	c=1 d=0.0480747 t=56430
xiang guan 	相關	c=54 d=2.73194 t=56430
xiang guan de 	相關的	c=2 d=5.14711e-11 t=56430
xiang guan lei 	相關類	c=2 d=0.71177 t=56430
xiang guan wen dang 	相關文檔	c=1 d=0.189191 t=56430
xiang guo 	想過	c=1 d=0.0623495 t=56430
xiang ji 	相機	c=4 d=4.14448e-29 t=56430
xiang jia 	相加	c=2 d=0.961058 t=56430
xiang jiao 	香蕉	c=1 d=0.831104 t=56430
xiang kan 	想看	c=1 d=0.000249763 t=56430
xiang lai 	向來	c=1 d=0.810584 t=56430
xiang le 	響了	c=1 d=2.4431e-09 t=56430
xiang le xiang 	想了想	c=1 d=0.000309671 t=56430
xiang mai 	想買	c=0 d=0.0238115 t=56430
xiang mu 	項目	c=249 d=3.92656 t=56430
xiang mu ming 	項目名	c=2 d=0.04573 t=56430
xiang mu ming cheng 	項目名稱	c=1 d=0.718924 t=56430
xiang mu yi 	項目已	c=1 d=0.00474815 t=56430
xiang ni 	想你	c=1 d=0.11475 t=56430
xiang nun shi 	像嫩是	c=1 d=0.000160054 t=56430
xiang qi lai 	想起來	c=1 d=0.0409727 t=56430
xiang qing 	詳情	c=15 d=0.732696 t=56430
xiang rang 	想讓	c=0 d=0.000186406 t=56430
xiang rang ta 	想讓她	c=1 d=0.0018734 t=56430
xiang ri 	向日	c=1 d=0.594521 t=56430
xiang ri kui 	向日葵	c=2 d=0.891366 t=56430
xiang shang 	向上	c=2 d=0.467666 t=56430
xiang shen me 	想什麼	c=1 d=0.332871 t=56430
xiang shi yong 	向使用	c=1 d=1.48232e-13 t=56430
xiang si 	相似	c=4 d=0.394554 t=56430
xiang tong 	想通	c=0 d=0.00134335 t=56430
xiang tong 	相同	c=29 d=2.39394 t=56430
xiang tong de 	相同的	c=2 d=0.00451658 t=56430
xiang tong guo 	想通過	c=1 d=0.0135009 t=56430
xiang tong lu jing 	相同路徑	c=1 d=2.24013e-18 t=56430
xiang tong zuo yong 	相同作用	c=1 d=2.72671e-07 t=56430
xiang xi 	詳細	c=26 d=5.11376 t=56430
xiang xi de 	詳細的	c=1 d=7.26767e-11 t=56430
xiang xiang 	想想	c=2 d=0.0769192 t=56430
xiang xiang 	香香	c=2 d=1.79437 t=56430
xiang xiang cheng 	想象成	c=1 d=0.0131019 t=56430
xiang xin 	相信	c=2 d=3.7591e-12 t=56430
xiang yao 	想要	c=18 d=4.14091 t=56430
xiang yao de 	想要的	c=1 d=1.00498e-29 t=56430
xiang yao zai 	想要在	c=1 d=4.29032e-16 t=56430
xiang ying 	相應	c=1 d=2.84485e-06 t=56430
xiang ying 	響應	c=29 d=1.5548 t=56430
xiang ying de 	相應的	c=1 d=4.37401e-08 t=56430
xiang ying ma 	響應碼	c=1 d=0.00494193 t=56430
xiang ying tou 	響應頭	c=1 d=1.17148e-09 t=56430
xiang yong 	想用	c=2 d=0.562705 t=56430
xiang zai 	想在	c=2 d=0.0397558 t=56430
xiang zhe 	想着	c=6 d=0.787654 t=56430
xiang zhe yang 	像這樣	c=3 d=0.0824965 t=56430
xiang zhe yang 	想這樣	c=1 d=2.07219e-13 t=56430
xiang zi 	箱子	c=1 d=0.161218 t=56430
xiang zi li 	箱子裏	c=1 d=0.0178635 t=56430
xiang zuo 	想做	c=1 d=1.2625e-07 t=56430
xiao 	小	c=16 d=1.34175 t=56430
xiao ai 	小愛	c=3 d=0.0545492 t=56430
xiao bai 	小白	c=0 d=0.0149569 t=56430
xiao bai de 	小白的	c=1 d=1.15086e-06 t=56430
xiao bai yang 	小白樣	c=2 d=0.150318 t=56430
xiao ban 	小班	c=1 d=1.58079e-05 t=56430
xiao ben dan 	小笨蛋	c=1 d=2.46128e-08 t=56430
xiao biao ti 	小標題	c=1 d=6.5727e-05 t=56430
xiao cheng xu 	小程序	c=1 d=0.169483 t=56430
xiao chu 	消除	c=7 d=0.0280154 t=56430
xiao chuang 	小窗	c=1 d=0.20089 t=56430
xiao de 	小的	c=1 d=0.0098528 t=56430
xiao duan 	小端	c=2 d=0.701356 t=56430
xiao fang 	消防	c=0 d=0.0562705 t=56430
xiao fang beng 	消防泵	c=1 d=5.12406e-17 t=56430
xiao fang xi tong 	消防系統	c=1 d=0.565525 t=56430
xiao fei 	消費	c=1 d=8.13374e-12 t=56430
xiao guo 	效果	c=17 d=4.97144 t=56430
xiao hao 	小號	c=5 d=0.297896 t=56430
xiao hao 	消耗	c=1 d=0.0237541 t=56430
xiao he 	小河	c=1 d=0.0156076 t=56430
xiao he shuang pin 	小鶴雙拼	c=1 d=0.000629868 t=56430
xiao he yin xing 	小鶴音形	c=5 d=0.796563 t=56430
xiao hui 	銷毀	c=2 d=0.650509 t=56430
xiao ji 	小雞	c=1 d=0.0507928 t=56430
xiao kang 	小康	c=0 d=0.0144424 t=56430
xiao le 	小了	c=1 d=0.532592 t=56430
xiao lv 	效率	c=1 d=0.00660453 t=56430
xiao mao 	小貓	c=3 d=0.0761233 t=56430
xiao mao mi 	小貓咪	c=2 d=0.0175975 t=56430
xiao mei nv 	小美女	c=1 d=0.0507928 t=56430
xiao men kou 	校門口	c=2 d=0.382099 t=56430
xiao mi 	小米	c=16 d=1.44903 t=56430
xiao peng you 	小朋友	c=1 d=1 t=56134
xiao qu 	校區	c=1 d=0.100259 t=56430
xiao shi 	小時	c=11 d=0.768262 t=56430
xiao shi 	消失	c=1 d=0.00265848 t=56430
xiao shu 	小數	c=6 d=1.68809 t=56430
xiao shuo 	小說	c=1 d=0.0997584 t=56430
xiao si 	笑死	c=1 d=1 t=56430
xiao si le 	笑死了	c=3 d=0.279536 t=56430
xiao tian 	小天	c=1 d=0.767206 t=56430
xiao tuo feng 	小駝峯	c=5 d=0.337314 t=56430
xiao wen ti 	小問題	c=1 d=0.128735 t=56430
xiao xi 	消息	c=175 d=13.0936 t=56430
xiao xi de 	消息的	c=1 d=0.852144 t=56430
xiao xi lei xing 	消息類型	c=2 d=0.0655488 t=56430
xiao xi ti 	消息體	c=1 d=0.980199 t=56430
xiao xi xi 	笑嘻嘻	c=1 d=0.826959 t=56430
xiao xiao 	小小	c=2 d=0.50409 t=56430
xiao xie 	小寫	c=5 d=0.123533 t=56430
xiao xin 	小心	c=1 d=0.955997 t=56430
xiao xin dian 	小心點	c=1 d=0.00336274 t=56430
xiao yi dian 	小一點	c=1 d=8.1086e-05 t=56430
xiao yu 	小於	c=15 d=1.17072 t=56430
xiao zhang 	校長	c=1 d=0.0466538 t=56430
xiao zhong 	消腫	c=1 d=4.51966e-11 t=56430
xiao zhu 	小豬	c=1 d=0.00229371 t=56430
xiao zhu mi 	小豬咪	c=1 d=0.0230521 t=56430
xiao zu 	小組	c=2 d=0.0431058 t=56430
xie 	些	c=5 d=1.82618 t=56430
xie 	寫	c=40 d=2.561 t=56430
xie cheng 	協程	c=2 d=0.463013 t=56430
xie dai 	攜帶	c=1 d=0.0448245 t=56430
xie de 	寫的	c=3 d=1.37707 t=56430
xie fa 	寫法	c=6 d=0.231078 t=56430
xie fan 	寫反	c=1 d=0.0944202 t=56430
xie fan le 	寫反了	c=1 d=2.82335e-05 t=56430
xie ge 	寫個	c=1 d=0.955997 t=56430
xie le 	寫了	c=2 d=0.199139 t=56430
xie lou 	泄漏	c=10 d=2.55104 t=56430
xie man 	寫滿	c=1 d=0.249075 t=56430
xie ru 	寫入	c=2 d=6.20596e-06 t=56430
xie shang qu 	寫上去	c=1 d=0.606531 t=56430
xie si 	寫死	c=2 d=0.634499 t=56430
xie ti 	斜體	c=1 d=9.09344e-30 t=56430
xie ti zi 	斜體字	c=1 d=1.07785e-29 t=56430
xie tiao 	協調	c=1 d=0.65377 t=56430
xie wen dang 	寫文檔	c=1 d=0.00737249 t=56430
xie xi 	歇息	c=1 d=0.00329615 t=56430
xie xie ni 	謝謝你	c=1 d=3.03798e-14 t=56430
xie yi 	協議	c=25 d=4.11665 t=56430
xie yi ge 	寫一個	c=5 d=0.745217 t=56430
xie zai 	卸載	c=3 d=0.677057 t=56430
xie zai 	寫在	c=3 d=0.794533 t=56430
xie zhe 	寫着	c=2 d=0.489163 t=56430
xin 	新	c=20 d=2.95791 t=56430
xin 	欣	c=1 d=0.379083 t=56430
xin ban 	新版	c=2 d=0.201951 t=56430
xin ban ben 	新版本	c=4 d=0.744532 t=56430
xin chuang jian 	新創建	c=1 d=0.0217096 t=56430
xin chuang kou 	新窗口	c=1 d=1.07247e-29 t=56430
xin de 	新的	c=18 d=2.94272 t=56430
xin dui xiang 	新對象	c=2 d=0.0431058 t=56430
xin fang fa 	新方法	c=1 d=7.36347e-18 t=56430
xin feng 	新風	c=5 d=0.000105503 t=56430
xin feng ji zu 	新風機組	c=17 d=0.000602183 t=56430
xin ge jiao yu 	新閣教育	c=2 d=0.674117 t=56430
xin gong neng 	新功能	c=4 d=0.0214936 t=56430
xin gou 	新夠	c=3 d=0.102803 t=56430
xin hao 	信號	c=1 d=0.0800583 t=56430
xin ji qi 	新及其	c=1 d=0.546074 t=56430
xin jia 	新加	c=1 d=1.84168e-08 t=56430
xin jian 	新建	c=3 d=0.420833 t=56430
xin jian er cun 	新建二村	c=3 d=2.12479 t=56430
xin jiu 	新舊	c=12 d=2.24471 t=56430
xin jiu wen jian 	新舊文件	c=1 d=2.53839e-18 t=56430
xin kai 	新開	c=1 d=0.802519 t=56430
xin ku 	辛苦	c=1 d=0.0963276 t=56430
xin lei 	心累	c=0 d=9.9498e-31 t=56430
xin lei o 	心累哦	c=1 d=9.99967e-30 t=56430
xin li 	心裏	c=0 d=3.12783e-05 t=56430
xin qing 	心情	c=1 d=5.68554e-05 t=56430
xin ren 	信任	c=1 d=7.96861e-06 t=56430
xin shou 	新手	c=1 d=2.03607e-12 t=56430
xin shu biao 	新鼠標	c=1 d=0.000189713 t=56430
xin tai 	心態	c=1 d=0.000133688 t=56430
xin te xing 	新特性	c=1 d=0.000338834 t=56430
xin tiao 	心跳	c=13 d=2.40573 t=56430
xin wen 	新聞	c=1 d=0.149569 t=56430
xin wen jian 	新文件	c=6 d=1.32159 t=56430
xin xi 	信息	c=111 d=3.11232 t=56430
xin yi dian 	新一點	c=1 d=4.11859e-06 t=56430
xin yong 	信用	c=1 d=2.30717e-12 t=56430
xin yong hu 	新用戶	c=1 d=2.31873e-12 t=56430
xin yong ka 	信用卡	c=1 d=0.0227089 t=56430
xin zen 	新怎	c=1 d=0.423162 t=56430
xin zeng 	新增	c=354 d=8.50965 t=56430
xin zeng de 	新增的	c=1 d=1.62081e-05 t=56430
xin zeng ta 	新增她	c=1 d=0.687289 t=56430
xin zeng wen jian 	新增文件	c=1 d=2.22895e-18 t=56430
xin zu 	新組	c=1 d=2.02591e-12 t=56430
xing 	型	c=4 d=0.198964 t=56430
xing 	形	c=4 d=0.0692708 t=56430
xing 	性	c=11 d=0.289184 t=56430
xing 	行	c=4 d=0.466972 t=56430
xing bie 	性別	c=4 d=0.267684 t=56430
xing fu 	幸福	c=1 d=0.000418012 t=56430
xing hao 	型號	c=4 d=1.72574 t=56430
xing jia bi 	性價比	c=1 d=0.0135686 t=56430
xing le 	行了	c=0 d=2.16271e-17 t=56430
xing le ba 	行了吧	c=1 d=2.17355e-16 t=56430
xing ming 	姓名	c=13 d=0.402899 t=56430
xing neng 	性能	c=38 d=2.96344 t=56430
xing qi 	星期	c=1 d=0.156453 t=56430
xing qi ji 	星期幾	c=1 d=0.131994 t=56430
xing ren 	行人	c=1 d=0.535261 t=56430
xing rong ci 	形容詞	c=2 d=0.567315 t=56430
xing shi 	形式	c=8 d=1.86731 t=56430
xing wei 	行爲	c=3 d=0.798852 t=56430
xing zhuang 	形狀	c=3 d=1.72512 t=56430
xing zuo 	星座	c=1 d=6.85865e-06 t=56430
xiong 	兄	c=1 d=0.0623495 t=56430
xiu 	休	c=2 d=0.740818 t=56430
xiu 	修	c=3 d=1.16262 t=56430
xiu 	秀	c=1 d=0.131336 t=56430
xiu ding 	修訂	c=1 d=0.000332125 t=56430
xiu fu 	修復	c=100 d=4.07782 t=56430
xiu gai 	修改	c=223 d=9.69827 t=56430
xiu gai hou 	修改後	c=0 d=3.78233e-05 t=56430
xiu gai hou de 	修改後的	c=1 d=0.000380129 t=56430
xiu gai wei 	修改爲	c=2 d=0.882629 t=56430
xiu gang dao 	修剛到	c=1 d=0.647265 t=56430
xiu hai 	修還	c=1 d=4.67826e-05 t=56430
xiu hao 	修好	c=1 d=0.000197455 t=56430
xiu hua 	繡花	c=1 d=0.937067 t=56430
xiu le 	修了	c=1 d=0.612626 t=56430
xiu shi 	修飾	c=1 d=0.00395583 t=56430
xiu shi jian 	修飾鍵	c=1 d=0.0397558 t=56430
xiu xi 	休息	c=1 d=0.000421797 t=56430
xiu ya 	秀雅	c=0 d=0.0860708 t=56430
xiu zheng 	修正	c=5 d=0.530041 t=56430
xu 	需	c=0 d=8.61587e-14 t=56430
xu bu xu yao 	需不需要	c=3 d=0.949647 t=56430
xu cun 	需村	c=1 d=2.01752e-22 t=56430
xu duo 	許多	c=3 d=0.0239928 t=56430
xu fei 	續費	c=3 d=0.0261214 t=56430
xu hang 	續航	c=5 d=0.00667224 t=56430
xu hao 	序號	c=5 d=1.09459 t=56430
xu jia 	虛假	c=1 d=5.24021e-16 t=56430
xu jian 	續建	c=2 d=0.000243626 t=56430
xu ke 	許可	c=1 d=0.130029 t=56430
xu lei 	畜類	c=1 d=0.0259911 t=56430
xu lie 	序列	c=4 d=0.041376 t=56430
xu lie hua 	序列化	c=25 d=1.14196 t=56430
xu lie hua qi 	序列化器	c=1 d=0.000178665 t=56430
xu luo hua 	需落花	c=1 d=8.65906e-13 t=56430
xu ni 	虛擬	c=6 d=1.02349 t=56430
xu ni ji 	虛擬機	c=3 d=0.918512 t=56430
xu ni xian cheng 	虛擬線程	c=1 d=0.45612 t=56430
xu qi 	續期	c=4 d=1.16921 t=56430
xu qiu 	需求	c=18 d=1.92135 t=56430
xu qiu fen xi 	需求分析	c=1 d=0.647265 t=56430
xu xian 	虛線	c=1 d=0.927743 t=56430
xu xian 	許仙	c=2 d=1.84163 t=56430
xu xue 	需學	c=1 d=0.00141589 t=56430
xu yao 	需要	c=175 d=8.31021 t=56430
xu yao de 	需要的	c=1 d=0.0713613 t=56430
xu zai 	須在	c=1 d=0.268474 t=56430
xuan 	選	c=3 d=0.548812 t=56430
xuan cheng 	宣稱	c=1 d=0.062662 t=56430
xuan de 	玄德	c=1 d=7.98788e-05 t=56430
xuan de 	選的	c=1 d=8.02792e-05 t=56430
xuan fu 	懸浮	c=1 d=0.00104071 t=56430
xuan fu chuang kou 	懸浮窗口	c=1 d=0.00096827 t=56430
xuan ju 	選舉	c=3 d=0.100005 t=56430
xuan qu 	選區	c=3 d=0.363311 t=56430
xuan ran 	渲染	c=1 d=0.000958635 t=56430
xuan xiang 	選項	c=20 d=5.84682 t=56430
xuan xiang de 	選項的	c=1 d=0.99005 t=56430
xuan ze 	選擇	c=18 d=3.11347 t=56430
xuan zhong 	選中	c=3 d=0.662605 t=56430
xuan zhong de 	選中的	c=1 d=0.0192547 t=56430
xuan zhuan 	旋轉	c=2 d=0.722527 t=56430
xue 	學	c=6 d=1.41817 t=56430
xue 	雪	c=1 d=0.0977834 t=56430
xue bu hao 	學不好	c=1 d=0.011109 t=56430
xue dao 	學到	c=0 d=0.00399551 t=56430
xue dao de 	學到的	c=1 d=0.0401553 t=56430
xue feng 	雪峯	c=1 d=0.722527 t=56430
xue fu 	學府	c=0 d=0.000122477 t=56430
xue fu jia yuan 	學府佳園	c=2 d=0.391054 t=56430
xue hua 	雪花	c=10 d=0.807713 t=56430
xue hua suan fa 	雪花算法	c=1 d=0.594521 t=56430
xue hui 	學會	c=1 d=0.647265 t=56430
xue li 	學歷	c=1 d=0.140858 t=56430
xue sheng 	學生	c=1 d=0.00104891 t=56430
xue sheng bao 	學生包	c=1 d=4.82237e-09 t=56430
xue xi 	學習	c=9 d=1.13473 t=56430
xue xi zhi nan 	學習指南	c=1 d=3.20756e-06 t=56430
xue xiao 	學校	c=3 d=1.90484 t=56430
xun 	尋	c=2 d=0.00119771 t=56430
xun hu 	巡護	c=2 d=0.0084282 t=56430
xun hu shi jian 	巡護時間	c=1 d=0.000614317 t=56430
xun huan 	循環	c=15 d=1.02725 t=56430
xun jian 	巡檢	c=134 d=7.27711 t=56430
xun jian dian 	巡檢點	c=1 d=0.00909528 t=56430
xun jiao 	瞓覺	c=0 d=0.00220377 t=56430
xun jiao ma 	瞓覺嗎	c=1 d=0.0221482 t=56430
xun lin 	巡林	c=5 d=0.00172018 t=56430
xun lin hu lin 	巡林護林	c=1 d=1.62893e-05 t=56430
xun luo ji 	巡邏機	c=1 d=0.000133021 t=56430
xun qiu 	尋求	c=1 d=0.00509243 t=56430
xun shi 	巡視	c=0 d=0.00193512 t=56430
xun xu 	循序	c=1 d=0.00891518 t=56430
ya 	呀	c=8 d=0.215837 t=56430
ya 	壓	c=1 d=6.94433e-05 t=56430
ya 	牙	c=3 d=0.831129 t=56430
ya ba cheng 	呀八成	c=1 d=0.198891 t=56430
ya chi 	牙齒	c=2 d=0.0271874 t=56430
ya dao 	壓到	c=1 d=0.597501 t=56430
ya guan 	牙冠	c=1 d=0.494109 t=56430
ya li 	壓力	c=3 d=0.360595 t=56430
ya ma 	亞麻	c=1 d=0.571209 t=56430
ya po gan 	壓迫感	c=1 d=0.183599 t=56430
ya shua 	牙刷	c=0 d=6.63876e-06 t=56430
ya suo 	壓縮	c=22 d=2.31688 t=56430
ya suo bao 	壓縮包	c=19 d=0.970465 t=56430
ya suo wen jian 	壓縮文件	c=1 d=8.52869e-11 t=56430
ya yin 	牙齦	c=4 d=0.000284437 t=56430
ya zi 	鴨子	c=1 d=0.909373 t=56430
yai 	崖	c=51 d=1.06673 t=56430
yan 	炎	c=1 d=1 t=56087
yan 	眼	c=1 d=5.81739e-10 t=56430
yan chi 	延遲	c=12 d=1.34067 t=56430
yan chu 	演出	c=0 d=0.000790705 t=56430
yan fa bu 	研發部	c=1 d=0.00120052 t=56430
yan ge 	嚴格	c=2 d=0.000800719 t=56430
yan ge 	閹割	c=2 d=0.0550202 t=56430
yan hai 	沿海	c=1 d=0.177284 t=56430
yan huo 	煙火	c=1 d=0.000407691 t=56430
yan jian 	鹽鹼	c=1 d=0.132655 t=56430
yan jing 	眼睛	c=1 d=0.0234005 t=56430
yan jing 	眼鏡	c=1 d=0.0401553 t=56430
yan jing tong 	眼睛痛	c=1 d=0.0623495 t=56430
yan jiu 	研究	c=3 d=1.59296 t=56430
yan jiu sheng 	研究生	c=1 d=0.236928 t=56430
yan jiu xia 	研究下	c=2 d=0.228779 t=56430
yan se 	顏色	c=41 d=5.38801 t=56430
yan shi 	延時	c=4 d=0.196912 t=56430
yan shu 	眼熟	c=2 d=0.711138 t=56430
yan xuan 	鹽選	c=2 d=1.53058 t=56430
yan zheng 	驗證	c=11 d=1.05666 t=56430
yan zheng ma 	驗證碼	c=3 d=0.00373503 t=56430
yan zhong 	嚴重	c=1 d=6.18994e-05 t=56430
yang 	樣	c=7 d=1.00917 t=56430
yang 	羊	c=1 d=0.00377257 t=56430
yang 	陽	c=5 d=0.895834 t=56430
yang 	養	c=0 d=1.43777e-08 t=56430
yang hu 	養護	c=2 d=0.0399413 t=56430
yang rou 	羊肉	c=1 d=0.0399551 t=56430
yang shi 	央視	c=2 d=3.713e-14 t=56430
yang shi 	樣式	c=20 d=3.8845 t=56430
yang yi tian 	養一天	c=1 d=1.44498e-07 t=56430
yang zi 	樣子	c=2 d=0.704978 t=56430
yao 	咬	c=1 d=0.231078 t=56430
yao 	腰	c=2 d=0.995649 t=56430
yao 	藥	c=7 d=0.069694 t=56430
yao 	要	c=97 d=4.38887 t=56430
yao ba 	要把	c=3 d=1.31425e-09 t=56430
yao bei 	要被	c=1 d=0.250324 t=56430
yao bu 	要不	c=5 d=0.882497 t=56430
yao bu shi 	要不是	c=2 d=0.0982736 t=56430
yao bu yao 	要不要	c=13 d=0.112731 t=56430
yao chu qu wan 	要出去玩	c=1 d=0.0323869 t=56430
yao da 	要打	c=1 d=0.0198411 t=56430
yao da kai 	要打開	c=1 d=0.000997758 t=56430
yao de 	要的	c=1 d=0.154124 t=56430
yao gen 	要跟	c=0 d=2.56836e-10 t=56430
yao gen wo 	要跟我	c=1 d=2.58123e-09 t=56430
yao geng xin 	要更新	c=1 d=0.263158 t=56430
yao huan 	要換	c=1 d=0.000587285 t=56430
yao jia 	要加	c=0 d=0.0301194 t=56430
yao jia ge 	要加個	c=1 d=0.302704 t=56430
yao lai 	要來	c=1 d=0.0851049 t=56430
yao lai le 	要來了	c=1 d=0.565525 t=56430
yao mai 	要買	c=2 d=0.730679 t=56430
yao me 	要麼	c=1 d=0.000731802 t=56430
yao neng 	要能	c=1 d=3.01297e-05 t=56430
yao ni 	咬你	c=1 d=0.00663763 t=56430
yao qing 	邀請	c=1 d=3.69083e-10 t=56430
yao qiu 	要求	c=11 d=1.62818 t=56430
yao qu 	要去	c=1 d=0.000256085 t=56430
